,CD_PROGRAMA_IES,NM_PROGRAMA_IES,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,AN_BASE,ID_ADD_PRODUCAO_INTELECTUAL,ID_PRODUCAO_INTELECTUAL,NM_PRODUCAO,ID_AREA_CONCENTRACAO,NM_AREA_CONCENTRACAO
6325,20001010022P0,CIÊNCIA DA COMPUTAÇÃO,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,2017,22374424,5983560,A HYPERVIDEO MODEL FOR LEARNING OBJECTS,76047,CIÊNCIA DA COMPUTAÇÃO
6326,20001010022P0,CIÊNCIA DA COMPUTAÇÃO,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,2017,22374425,5981515,A MIDDLEWARE PERSPECTIVE FOR INTEGRATING GINGA-NCL APPLICATIONS WITH THE INTERNET OF THINGS,76047,CIÊNCIA DA COMPUTAÇÃO
6327,20001010022P0,CIÊNCIA DA COMPUTAÇÃO,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,2017,22374427,5985185,A NEW PARTICLE WEIGHTING STRATEGY FOR ROBOT MAPPING FASTSLAM,76047,CIÊNCIA DA COMPUTAÇÃO
6360,20001010022P0,CIÊNCIA DA COMPUTAÇÃO,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,2017,22375089,5985187,A STOCHASTIC LEARNING APPROACH FOR CONSTRUCTION OF BRICK STRUCTURES WITH A GROUND ROBOT,76047,CIÊNCIA DA COMPUTAÇÃO
6361,20001010022P0,CIÊNCIA DA COMPUTAÇÃO,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,2017,22375090,6033992,ACESSIBILIDADE EM AMBIENTES ESCOLARES: IDENTIFICAÇÃO DE BARREIRAS FÍSICAS,76047,CIÊNCIA DA COMPUTAÇÃO
6362,20001010022P0,CIÊNCIA DA COMPUTAÇÃO,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,2017,22375091,6033144,ACOMPANHAMENTO DE DISCENTES: A MONITORIA COMO FORMA DE INCENTIVO E MOTIVAÇÃO DA DISCIPLINA DE ALGORITMOS I,76047,CIÊNCIA DA COMPUTAÇÃO
6363,20001010022P0,CIÊNCIA DA COMPUTAÇÃO,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,2017,22375092,6033832,"ADOLESCENT CHAT: MOBILE APPLICATION ON SEXUALITY, STD / HIV / AIDS PREVENTION",76047,CIÊNCIA DA COMPUTAÇÃO
6364,20001010022P0,CIÊNCIA DA COMPUTAÇÃO,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,2017,22375095,6038132,AN EXPLORATORY STUDY ON THE NEED FOR MODELING SOFTWARE ECOSYSTEMS: THE CASE OF SOLAR SECO,76047,CIÊNCIA DA COMPUTAÇÃO
6365,20001010022P0,CIÊNCIA DA COMPUTAÇÃO,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,2017,22375097,6125164,APPLICATION OF VIRTUAL REALITY TECHNIQUES TO A BIRTH SIMULATION,76047,CIÊNCIA DA COMPUTAÇÃO
6366,20001010022P0,CIÊNCIA DA COMPUTAÇÃO,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,2017,22375098,6185368,AUTOMATIC CONSUMPTION READING ON ELECTROMECHANICAL METERS USING HOG AND SVM,76047,CIÊNCIA DA COMPUTAÇÃO
6367,20001010022P0,CIÊNCIA DA COMPUTAÇÃO,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,2017,22375102,6000386,AVALIAÇÃO AUTOMÁTICA DE VERSÕES OCULARES EM IMAGENS,76047,CIÊNCIA DA COMPUTAÇÃO
